book_id,standard_deviation
72676,6.36
113237,6.36
217673,6.36
129795,6.36
187975,6.36
229174,6.36
119894,6.36
137133,6.36
124559,6.36
252516,6.36
53899,6.36
13757,6.36
95433,6.36
84152,6.36
206651,6.36
269184,6.36
113162,6.36
169494,6.36
84419,6.36
207658,6.36
159276,6.36
56330,6.36
37097,6.36
249099,6.36
205565,6.36
23295,6.36
92195,6.36
73405,6.36
264677,6.36
158198,6.36
58136,6.36
251403,6.36
5639,5.66
232168,5.66
5956,5.66
91186,5.66
186557,5.66
257030,5.66
130429,5.66
57431,5.66
145554,5.66
56749,5.66
4379,5.66
201592,5.66
192188,5.66
218664,5.66
4742,5.66
50767,5.66
133312,5.66
11117,5.66
73449,5.66
130517,5.66
25014,5.66
93188,5.66
49914,5.66
34305,5.66
240842,5.66
188047,5.66
103703,5.66
64595,5.66
89976,5.66
159381,5.66
213342,5.66
244807,5.66
200844,5.66
45250,5.66
175092,5.66
148798,5.66
25792,5.66
49205,5.66
205549,5.66
155777,5.66
264910,5.66
250180,5.66
191912,5.66
60575,5.66
182962,5.66
219916,5.66
255278,5.66
12198,5.66
101995,5.66
58799,5.66
128575,5.66
206083,5.66
84505,5.66
35258,5.66
58346,5.66
150455,5.66
77108,5.66
191974,5.66
236844,5.66
13392,5.66
254945,5.2
119974,5.2
124560,5.2
57895,5.2
33442,4.95
247281,4.95
110354,4.95
110378,4.95
190964,4.95
269466,4.95
223680,4.95
112770,4.95
31100,4.95
45781,4.95
92438,4.95
85997,4.95
198846,4.95
83725,4.95
243962,4.95
63268,4.95
33163,4.95
10675,4.95
35303,4.95
258887,4.95
35261,4.95
45643,4.95
139482,4.95
159087,4.95
182077,4.95
11125,4.95
244436,4.95
42133,4.95
217881,4.95
12192,4.95
78959,4.95
247816,4.95
160407,4.95
214759,4.95
173485,4.95
34992,4.95
245056,4.95
237018,4.95
72934,4.95
256989,4.95
60414,4.95
143830,4.95
136218,4.95
173590,4.95
118825,4.95
173424,4.95
19285,4.95
165966,4.95
61890,4.95
87844,4.95
19794,4.95
90409,4.95
84033,4.95
145147,4.95
87815,4.95
89076,4.95
238523,4.95
174990,4.95
163712,4.95
223642,4.95
192421,4.95
249483,4.95
249269,4.95
258765,4.95
122805,4.95
127898,4.95
123745,4.95
204276,4.95
82527,4.95
178058,4.95
257947,4.95
123341,4.95
252719,4.95
102004,4.95
114709,4.95
69541,4.95
192135,4.95
149912,4.95
52486,4.95
187845,4.95
122439,4.95
70162,4.95
55587,4.95
65584,4.95
193305,4.95
168523,4.95
182526,4.95
269612,4.95
127849,4.95
67894,4.95
267170,4.95
153891,4.95
67142,4.95
152848,4.95
81937,4.95
51969,4.95
230726,4.95
257714,4.95
99822,4.95
192023,4.95
155432,4.95
193764,4.95
127088,4.95
178335,4.95
