id,name
0,Simon &amp; Schuster
1,Collins
2,Harpercollins Uk
3,HarperCollins Publishers
4,Trafalgar Square Publishing
5,Trafalgar Square Books
6,Atlantic
7,HarperCollins UK
8,Fairmount Books Ltd Remainders
9,Trafalgar Square
10,Collin
11,William Collins Sons Co Ltd
12,HarperFlamingo Canada
13,Harper Collins Canada
14,Harper Collins
15,Harpercollins
16,Harper &amp; Collins
17,HarperCollinsPublishers
18,HarperCollins
19,Harpercollins Publisher
20,Smithmark Publishing
21,Cuisinarts
22,Collins Harvill
23,Collins Pub San Francisco
24,Harpercollins Juvenile Books
25,Smithmark Pub
26,HarperCollinsWillow
27,BBC Books
28,Harper Collins Publishers
29,Totem Books
30,Flamingo
31,HarperPerennial
32,HarperCollins Pubrs
33,Harpercollins Canada
34,HarperCollins Canada
35,Collins Publishers
36,Perennial Currents
37,HarperEntertainment
38,Indus
39,Daedalus Books Inc Remainders
40,HarperFestival
41,Voyager
42,Collins [for] the Crime Club
43,[Published for] the Crime Club [by] Collins
44,Collins for the Crime Club
45,Crime Club
46,Collins Crime
47,Cookbooks
48,Harpercollins Australia
49,Pub Overstock Unlimited Inc
50,Collins &amp; Harvill Press
51,Collins : Harvill Press
52,Collins Harvill Pr
53,Harvill Press
54,"Acacia Press, Inc."
55,Collins Educational
56,Addison Wesley Publishing Company
57,Pearson English Language Teaching
58,Addison Wesley Longman ELT Division (a Pearson Education company)
59,Penguin Longman Publishing
60,Collins Liturgical Books
61,Not Avail
62,HarperCollins (UK)
63,HarperResource
64,HarperCollins Publishers Inc
65,Fontana
66,Fontana Paperbacks
67,Fontana/ Collin
68,William Collins Pty Ltd
69,Fontana/Collins
70,Fontana Press
71,Pub Group West
72,Fount
73,Zondervan Publishing Company
74,Zondervan
75,Harper Collins - UK
76,Fount/harpercollins
77,Delta Book Co
78,Collins Publications
79,Penguin Uk
80,Virago Press Limited
81,Harper Perennial
82,Harperperennial
83,"HarperCollins Canada, Ltd."
84,HarperCollins Business
85,Augsburg Fortress Publishers
86,HarperSanFrancisco
87,Hope Publishing Company (IL)
88,Britnell Book Wholesalers
89,Firebird Distributing
90,Harpercollins Pub Ltd
91,HarperCollins Entertainment
92,Flamingo Agencies Ltd
93,Albert Britnell Book Shop
94,Herald Press (PA)
95,Picture Lions
96,Word Entertainment Music
97,Thorsons Publishers
98,HarperCollins Illustrated
99,National Book Network
100,Element Books
101,Perennial
102,Bibles/Liturgical/Music
103,Willow
104,Collins Voyager
105,Conari Press
106,Fourth Estate
107,Chilton Book Company
108,Thorsons
109,Collier Books
110,John Wiley &amp; Sons
111,Touchstone
112,MacMillan Publishing Company
113,MacMillan Publishing Company.
114,Scribner Paper Fiction
115,Simon Schuster Trade
116,Macmillan General Reference
117,Scribner
118,Macmillan
119,Maxwell Macmillan International
120,Cassell's
121,"Hungry Minds, Inc"
122,Free Press
123,John Wiley &amp; Sons Inc
124,MacMillan
125,Simon Pulse
126,Aladdin
127,Simon &amp; Schuster Merchandise &amp;
128,Collier
129,Wiley
130,Macmillan Pub Co
131,Scribner Book Company
132,Fireside
133,Macmillan Pub. Co
134,Palgrave MacMillan
135,Pan Macmillan
136,MacMillan/McGraw-Hill School Division
137,Glencoe/McGraw-Hill
138,Prentice Hall
139,Longman Publishing Group
140,Dellen Pub Corp
141,Pearson Education
142,Collier Macmillan Canada
143,Pearson Allyn &amp; Bacon
144,Bobbs-Merrill Co
145,Collier Macmillan
146,Pearson Education POD
147,MacMillan Inc
148,Pearson P T R
149,Pearson Higher Education
150,Meredith Books
151,Sedgewood Press
152,Bookthrift Co
153,Howell Book House
154,Glencoe Division Macmillian/McGraw-Hill
155,Glencoe/Macmillan McGraw Hill
156,McGraw-Hill/Irwin
157,Mcgraw-hill Inc
158,Checkerboard Pr
159,Holmes &amp; Meier Publishers
160,Checkerboard Books
161,Checkerboard Press
162,Checkboard Press
163,Book Sales
164,Simon &amp; Schuster (J)
165,Bradbury Press
166,Simon &amp; Schuster Children's Publishing
167,Atheneum/Richard Jackson Books
168,Atheneum
169,Crowell-Collier
170,Four Winds Press
171,Four Winds
172,Athena V Lord
173,Little Simon
174,Simon &amp; Schuster Adult Publishing Group
175,Glencoe/MacMillan McGraw Hill
176,McGraw-Hill Companies
177,McGraw-Hill Technology Education
178,Glencoe McGraw-Hill
179,Macmillan Mcgraw-hill
180,Petersons Guides
181,Petersons
182,Macmillan Distribution
183,Alpha Books
184,Longman
185,American Heart Association
186,Arco Pub
187,Webster's New World
188,Penguin Putnam
189,Betty Crocker
190,Hungry Minds
191,MacMillan USA
192,Frommer's
193,Alpha Communications
194,Alpha
195,Frommer
196,Frommers
197,Schirmer Books
198,Music Sales Ltd
199,Music Sales Corp
200,Wadsworth Publishing
201,Gale Group
202,Brassey's Inc
203,Brasseys
204,Lexington Books
205,"Simon and Schuster, Inc."
206,Oryx Pr
207,Prentice Hall of Canada Ltd
208,Distributed by Macmillan Pub. Co
209,Editions Berlitz
210,Berlitz Guides
211,"Holt, Rinehart, and Winston"
212,Henry Holt &amp; Co
213,Harcourt Brace* Co
214,Granite Impex Ltd
215,Henry Holt &amp; Co (J)
216,Greenwood Pub Group
217,Thomson Learning
218,Holt Rinehart and Winston
219,"Holt, Rinehart and Winston"
220,Brooks Cole
221,Harcourt Brace College Publishers
222,"Henry Holt &amp; Company, Inc."
223,Harcourt College Pub
224,Saunders College Pub
225,Henry Holt &amp; Company
226,International Thomson Publishing
227,Henry Holt (P)
228,Saunders College Publishing
229,Harcourt College Publishers
230,Dryden Press
231,Saunders
232,Holt Rinehart Winston
233,Heinle
234,Harcourt
235,Holt Rinehart &amp; Winston
236,South-Western College Pub
237,Harcourt School Pub
238,Horizon Book Promotions
239,Custom Publishing
240,Course Technology
241,Harcourt School
242,Harper San Francisco
243,Knapp Press
244,"Holt, Rinehart, Winston"
245,"Holt, Rinehart and Winston, Publishers"
246,Winston Press
247,Harcourt Brace Jovanovich
248,Smithmark Publishers
249,Saunders College
250,"Holt, Rinehart &amp; Winston"
251,Slack Inc
252,Harcourt Brace
253,"Allen &amp; Unwin Pty., Limited (Australia)"
254,Routledge
255,Unwin Paperbacks
256,Unwin Hyman/ See Routledge
257,Unwin Hyman
258,Allen &amp; Unwin Australia
259,Pandora Pr
260,Natl Book Network
261,New York Univ Pr
262,Rivers Oram Press
263,Harper Collins India
264,Pandora Press (GB)
265,Rivers Oram Press/Pandora
266,Paul &amp; Co Pub Consortium
267,Allen &amp; Unwin (Australia) Pty Ltd
268,Allen &amp; Unwin
269,Bridget Williams Books
270,G. Allen &amp; Unwin
271,Unwin Books
272,Allen and Unwin
273,Writers &amp; Readers Publishing
274,Longman Schools Division (a Pearson Education company)
275,Avon
276,Joanna Cotler
277,Avon Books
278,Ecco
279,William Morrow
280,William Morrow &amp; Company
281,HarperTorch
282,HarperTrophy
283,Greenwillow Books
284,HarperBusiness
285,Eos
286,Harper SanFrancisco
287,Avon Trade
288,Quill
289,HarperAudio
290,Regan Books
291,Rayo
292,HarperTempest
293,ReganBooks
294,Perennial Classics
295,HarperLargePrint
296,Morrow Cookbooks
297,Harper &amp; Row
298,"Book Division, Times Mirror Magazines : [distributed by] Harper and Row"
299,HarperCollins (paper)
300,Newsweek; distributed by Harper &amp; Row
301,Harper
302,Harpercollins Childrens Books
303,Harper and Row
304,Harperaudio
305,Harper Row
306,Edward Burlingame Books
307,Harper Resource
308,Ecco Press
309,Harperflamingo
310,Cliff Street Books
311,HarperCollins Children's Books
312,Ecco (HarperCollins)
313,Amistad Press (HarperCollins)
314,Little Brown and Company
315,MMB Music
316,Counterpoint Press
317,Harpercollins Library
318,Laura Geringer
319,Amistad
320,Joanna Cotler Books
321,Laura Geringer Book
322,Michael Di Capua
323,Katherine Tegen Books
324,Greenwillow
325,Warner Books
326,Addison-Wesley Pub Co
327,Addison-Wesley
328,Allyn &amp; Bacon
329,Addison-Wesley Pub Co (Sd)
330,PerfectBound
331,HarperChildrensAudio
332,Amistad Press
333,Harper Design International
334,Perennial Dark Alley
335,Collinswillow
336,Eos (Trade)
337,Perennial (HarperCollins)
338,Random House Inc
339,Perennial Library
340,Harper Colophon Books
341,Louisiana State University Press
342,Griffin
343,Harperperennial Library
344,Harperentertn
345,Harper Collins (Hallmark Edition)
346,Hallmark
347,Perennial Library &amp; Row
348,Harper Audio
349,Harper Mass Market Paperbacks
350,Harper Mass Market Paperbacks (Mm)
351,HarperPrism
352,Alanna Nash
353,Eos (HarperCollins)
354,HarperPaperbacks
355,Harpertorch
356,Harper's Magazine Press
357,Basic Books
358,Di Capua
359,Upper Access Book Pub
360,HarperSanfrancisco
361,Jambalaya Spirit/Best Sellers Ink
362,U s Games Systems
363,DIANE Publishing Co
364,Whole Earth
365,Harpersanfran
366,CollinsRef
367,Access Press (HarperCollins)
368,Perseus Books Group
369,Access Press
370,Longman Higher Education Division (a Pearson Education company)
371,Canfield Press
372,Westview Press
373,Harpertempest
374,Crowell
375,Parachute Press (NY)
376,Benjamin-Cummings Publishing Company
377,Barnes &amp; Noble Books
378,Barnes &amp; Noble Books-Imports
379,Facts on File
380,Barnes &amp; Noble
381,Barnes Noble Books
382,Rowman &amp; Littlefield Pub Inc
383,NewburyHouse
384,distributed by Harper &amp; Row
385,McGraw-Hill
386,McGraw-Hill Education
387,McGraw Hill (Tx)
388,Webster Division MacGraw-Hill
389,McGraw-Hill/Contemporary Books
390,McGraw Hill Children's Pub
391,McGraw-Hill Book Co (Mm)
392,McGraw Hill College Div
393,International Marine/Ragged Mountain Press
394,McGraw-Hill Trade
395,McGraw-Hill Book Co
396,McGraw-Hill Humanities/Social Sciences/Languages
397,McGraw-Hill College
398,McGraw Hill
