,author_name,author_id
0,Mark P. O. Morford,0
1,Richard Bruce Wright,1
2,Carlo D'Este,2
3,Gina Bari Kolata,3
4,E. J. W. Barber,4
5,Amy Tan,5
6,Robert Cowley,6
7,Scott Turow,7
8,David Cordingly,8
9,Ann Beattie,9
10,David Adams Richards,10
11,Adam Lebor,11
12,Sheila Heti,12
13,R. J. Kaiser,13
14,Jack Canfield,14
15,Loren D. Estleman,15
16,Robert Hendrickson,16
17,Julia Oliver,17
18,John Grisham,18
19,Toni Morrison,19
20,The Onion,20
21,Celia Brooks Brown,21
22,J. R. Parrish,22
23,Mary-Kate &amp; Ashley Olsen,23
24,Robynn Clairday,24
25,Kathleen Duey,25
26,Rich Shapero,26
27,Michael Crichton,27
28,MICHAEL CRICHTON,28
29,C.S. Lewis,29
30,ARTHUR PHILLIPS,30
31,Stephan Jaramillo,31
32,Mordecai Richler,32
33,Eleanor Cooney,33
34,Charlotte Link,34
35,Richard North Patterson,35
36,Mark Salzman,36
37,Harper Lee,37
38,LAURA HILLENBRAND,38
39,Barbara Kingsolver,39
40,Jo Dereske,40
41,Jane Austen,41
42,Dolores Krieger,42
43,Anne Rivers Siddons,43
44,Dean R. Koontz,44
45,Mary Higgins Clark,45
46,Dean Koontz,46
47,Patricia Cornwell,47
48,J.D. Robb,48
49,Maeve Binchy,49
50,Laura J. Mixon,50
51,Tim Lahaye,51
52,JOHN GRISHAM,52
53,M.D. Bernie S. Siegel,53
54,Robert Penn Warren,54
55,Hans Johannes Hoefer,55
56,Mark Helprin,56
57,O. Carol Simonton Md,57
58,Chuck Hill,58
59,David Iglehart,59
60,Larry McMurtry,60
61,SUZANNE FISHER STAPLES,61
62,Michel Tournier,62
63,Carl Sagan,63
64,Aleksandr Zinoviev,64
65,Anne Tyler,65
66,Joseph Conrad,66
67,Deepak Chopra,67
68,Thomas Hardy,68
69,Charles Noland,69
70,Valerie Frankel,70
71,Benjamin Hoff,71
72,Niccolo Machiavelli,72
73,H. Jackson Brown,73
74,Robert A. Heinlein,74
75,PHILIP PULLMAN,75
76,Anna Sewell,76
77,MICHAEL ONDAATJE,77
78,Sandra Levy Ceren,78
79,P.J. O'Rourke,79
80,Mike Gayle,80
81,Stel Pavlou,81
82,Sarah Payne Stuart,82
83,Dan Quayle,83
84,Donald F. Kettl,84
85,DAVID FRUM,85
86,Louis Lamour,86
87,J.D. Salinger,87
88,J. R. R. Tolkien,88
89,John Berendt,89
90,Jennifer Crusie,90
91,Jane Heller,91
92,Michael Rips,92
93,Simon Mawer,93
94,William Abrahams,94
95,Robert T. Kiyosaki,95
96,Ken Follett,96
97,John F. Love,97
98,Robert G. Allen,98
99,LOUIS DE BERNIERES,99
100,Pam Proctor,100
101,Mitch Albom,101
102,Irene Gonzalez Frei,102
103,Michael Jan Friedman,103
104,Glendon Swarthout,104
105,Neal Barrett Jr.,105
106,David Morrell,106
107,Sandra Brown,107
108,James Patterson,108
109,Stuart Woods,109
110,IRIS JOHANSEN,110
111,Dan Brown,111
112,Joe Hutsko,112
113,Anita Shreve,113
114,Ann Rule,114
115,LEWIS GRIZZARD,115
116,Paul Theroux,116
117,Lewis Grizzard,117
118,Charles Hickey,118
119,Stephen King,119
120,Ben Mezrich,120
121,Bill Hand,121
122,Tom Clancy,122
123,DANA REEVE,123
124,Roy,124
125,Barbara Metzger,125
126,Gabriel Garcia Marquez,126
127,Rebecca Wells,127
128,Tony Hillerman,128
129,Robert James Waller,129
130,Rachel Harris,130
131,IAN MCEWAN,131
132,Michael Lewis,132
133,Richard Zimler,133
134,Norman Jetmundsen,134
135,Lorenzo Carcaterra,135
136,Anne Frasier,136
137,Kay Hooper,137
138,Soren Kierkegaard,138
139,Jose Ortega Y Gaset,139
140,Daphne Du Maurier,140
141,Nathaniel Hawthorne,141
142,Nick Page,142
143,Laura Wolf,143
144,LOIS DUNCAN,144
145,Susan Grant,145
146,Barbara Vine,146
147,Shirley Rousseau Murphy,147
148,Jane Lindskold,148
149,Betty Smith,149
150,Cybill Shepherd,150
151,Stewart O'Nan,151
152,David Baldacci,152
153,Douglas Adams,153
154,Mary Lawson,154
155,Willa Cather,155
156,Olivia Goldsmith,156
157,Helen Fielding,157
158,Franklin W. Dixon,158
159,Lilian Jackson Braun,159
160,Holly Virden,160
161,H. Norman Wright,161
162,Piers Anthony,162
163,RAY BRADBURY,163
164,Schiller,164
165,Ray Bradbury,165
166,Raymond Chandler,166
167,Paolo Coelho,167
168,Fay Weldon,168
169,Arabella Weir,169
170,Kiana Davenport,170
171,Sue Townsend,171
172,Renan Demirkan,172
173,Michael Moore,173
174,Jonathan Franzen,174
175,Jerome D. Salinger,175
176,James Joyce,176
177,Joanna Trollope,177
178,Milan Kundera,178
179,Arundhati Roy,179
180,Robert S. Levinson,180
181,Lorna Landvik,181
182,Arthur Golden,182
183,KENT HARUF,183
184,Patricia D. Cornwell,184
185,Carol J. Farley,185
186,Kathleen E. Woodiwiss,186
187,Belva Plain,187
188,MARK HADDON,188
189,ANN BRASHARES,189
190,Erich Segal,190
191,Elizabeth Adler,191
192,Nicholas Sparks,192
193,JOHN SAUL,193
194,LORNA LANDVIK,194
195,Steve Thayer,195
196,Tracy Chevalier,196
197,Judith Kelman,197
198,Michael Palmer,198
199,Francine Hughes,199
200,Norman Bridwell,200
201,Frank McCourt,201
202,Malachy McCourt,202
203,Mari Sandoz,203
204,Anne Perry,204
205,ALEXANDER MCCALL SMITH,205
206,Gregory Maguire,206
207,Yann Martel,207
208,Ruth Rendell,208
209,Al Franken,209
210,DONNA TARTT,210
211,John Milne,211
212,Terry Pratchett,212
213,E. B. White,213
214,J. M. Barrie,214
215,Mary O'Hara,215
216,Louise Rennison,216
217,Kenneth Grahame,217
218,Bernard Cornwell,218
219,Charles de Lint,219
220,Edward John Moreton Drax Plunkett Dunsany,220
221,Georgette Heyer,221
222,OSCAR WILDE,222
223,Ted Hughes,223
224,ROALD DAHL,224
225,Donna Jo Napoli,225
226,A. S. Byatt,226
227,Tanuja Desai Hidier,227
228,SOPHIE KINSELLA,228
229,Isabel Wolff,229
230,Louisa May Alcott,230
231,George Orwell,231
232,Charles Dickens,232
233,Isabel Allende,233
234,Ellen Datlow,234
235,A.S. BYATT,235
236,Joseph Heller,236
237,John Galsworthy,237
238,Enid Blyton,238
239,Neil Gaiman,239
240,Alan Moore,240
241,Trudy Suggs,241
242,Tom Wolfe,242
243,Brady Udall,243
244,Homer Hickam,244
245,Pearl Abraham,245
246,Sebastian Junger,246
247,Karen Armstrong,247
248,Mary Barnard,248
249,David Brin,249
250,T. Coraghessan Boyle,250
251,Paul Woodruff,251
252,Lynda Madaras,252
253,Stephen McCauley,253
254,Isabelle Holland,254
255,Pam Conrad,255
256,Lurlene McDaniel,256
257,Brian Kaufman,257
258,John Darnton,258
259,Martin Schenk,259
260,DAVID EDDINGS,260
261,Paul Reiser,261
262,David G. Hartwell,262
263,Dave Barry,263
264,John R. Holt,264
265,Theodore Beale,265
266,Frank M. Robinson,266
267,Mary Jane Clark,267
268,Mary Wollstonecraft Shelley,268
269,Isabel-Clara SimÃ³,269
270,Robert Westall,270
271,Robert B. Parker,271
272,Rita Chapman Works,272
273,A. Manette Ansay,273
274,Sarah Waters,274
275,Anne Frank,275
276,Barry Lopez,276
277,Greg Palast,277
278,Andrea Kane,278
279,Nevada Barr,279
280,Paul Auster,280
281,Margaret Maron,281
282,EDNA BARKER,282
283,Muriel Whitaker,283
284,John Irving,284
285,Golding,285
286,HarperReference,286
287,LTD,287
288,Ann Patchett,288
289,Roald Dahl,289
290,Sue Monk Kidd,290
291,Bob Thiele,291
292,Colleen McCullough,292
293,Joanne Harris,293
294,Thomas Cahill,294
295,Michael Hudson,295
296,Jane Smiley,296
297,Dick Francis,297
298,Nora Roberts,298
299,Jean Marzollo,299
300,Walter Wick,300
301,Barbara Delinsky,301
302,P. D. James,302
303,Arthur William Upfield,303
304,Christopher Rice,304
305,Rex Stout,305
306,Joan Anderson,306
307,Vance Havner,307
308,Warren W. Wiersbe,308
309,Max Lucado,309
310,Lawrence J Crabb,310
311,Barry Neil Kaufman,311
312,Bob Sjogren,312
313,Frederick J. Moody,313
314,Neal Pirolo,314
315,William Sleator,315
316,Antoine de Saint-ExupÃ©ry,316
317,Richard Bach,317
318,Kevin Sullivan,318
319,Michele Morgan,319
320,"Scott, Cunningham",320
321,David Allen Hulse,321
322,Richard Webster,322
323,Bernard King,323
324,Pat Hutchins,324
325,William Shakespeare,325
326,Melissa McClone,326
327,Cheryl St. John,327
328,Lewis Carroll,328
329,Mark Twain,329
330,Dog Mary Crow,330
331,Linda Gordon,331
332,Florence King,332
333,Alice Sebold,333
334,Spalding Gray,334
335,Thomas Harris,335
336,EDWARD RUTHERFURD,336
337,Margaret Atwood,337
338,Dorothy Allison,338
339,MAYA ANGELOU,339
340,Edith Wharton,340
341,Mary Brave Bird,341
342,John G. Neihardt,342
343,Roland Warren,343
344,Johnny Molloy,344
345,James McCourt,345
346,Elizabeth Wurtzel,346
347,Bill Bradley,347
348,Don Miguel Ruiz,348
349,Luis Racionero,349
350,Eugeni Perea SimÃ³n,350
351,Thomas Hauser,351
352,VicenÃ§ Villatoro,352
353,VÃ­ctor Mora,353
354,Elena Castedo,354
355,OfÃ¨lia Dracs,355
356,Antoni Serra,356
357,M. Carme Junyent,357
358,Jaume CapÃ³,358
359,MÃ rius Serra,359
360,Ferran Torrent,360
361,Joan Agut,361
362,Carmen Rico-Godoy,362
363,Maria JaÃ©n,363
364,Paul Lester,364
365,Leo Tolstoy,365
366,Simon Nye,366
367,Robert A Johnson,367
368,Horacio Vazquez-Rial,368
369,Marc Gascoigne,369
370,Stephanie Maze,370
371,Sandra Dallas,371
372,Anne McCaffrey,372
373,David Gemmell,373
374,Laura Zigman,374
375,Margaret Truman,375
376,Nic Kynaston,376
377,Paula Danziger,377
