,publisher_name,publisher_id
0,Oxford University Press,0
1,HarperFlamingo Canada,1
2,HarperPerennial,2
3,Farrar Straus Giroux,3
4,W. W. Norton &amp; Company,4
5,Putnam Pub Group,5
6,Berkley Publishing Group,6
7,Audioworks,7
8,Random House,8
9,Scribner,9
10,Emblem Editions,10
11,Citadel Press,11
12,House of Anansi Press,12
13,Mira Books,13
14,Health Communications,14
15,Brilliance Audio - Trade,15
16,Kensington Publishing Corp.,16
17,River City Pub,17
18,Dell,18
19,Plume,19
20,Three Rivers Press,20
21,Ryland Peters &amp; Small Ltd,21
22,Cypress House,22
23,HarperEntertainment,23
24,Scholastic,24
25,Aladdin,25
26,Too Far,26
27,Ballantine Books,27
28,Random House Trade Paperbacks,28
29,LÃ?Â¼bbe,29
30,Goldmann,30
31,Alfred A. Knopf,31
32,Little Brown &amp; Company,32
33,Harpercollins,33
34,Avon,34
35,Bantam,35
36,Fireside,36
37,HarperTorch,37
38,Bantam Books,38
39,Pocket,39
40,Tor Books,40
41,Tyndale House Publishers,41
42,HarperCollins Publishers,42
43,Harvest Books,43
44,Chambers Harrap Publishers Ltd,44
45,Avon Books,45
46,Speed Graphics,46
47,Sunflower Press,47
48,Laurel Leaf,48
49,Gallimard,49
50,Prentice Hall (K-12),50
51,NTC/Contemporary Publishing Company,51
52,St. Martin's Press,52
53,1stBooks Library,53
54,Avon Trade,54
55,Penguin Books,55
56,Signet Book,56
57,Thomas Nelson,57
58,Ace Books,58
59,Landoll,59
60,Knopf,60
61,Andrew Scott Publishers,61
62,Atlantic Monthly Press,62
63,Hodder &amp; Stoughton General Division,63
64,Simon &amp; Schuster (Trade Division),64
65,Perennial,65
66,McGraw-Hill,66
67,Bantam Doubleday Dell,67
68,"Little, Brown",68
69,Minotauro,69
70,Distribooks,70
71,Back Bay Books,71
72,Doubleday Books,72
73,Warner Books,73
74,Vintage,74
75,Hyperion,75
76,Tusquets,76
77,Star Trek,77
78,Pocket Star,78
79,Tor Books (Mm),79
80,Harper Mass Market Paperbacks (Mm),80
81,Warner Books (Mm),81
82,Onyx Books,82
83,Free Press,83
84,Thomas Nelson Inc,84
85,Edicoes Asa,85
86,Pan Macmillan,86
87,Anchor,87
88,W.W. Norton &amp; Company,88
89,Arcadia Books,89
90,"John Hunt Publishing, Ltd.",90
91,Fawcett Books,91
92,Alianza,92
93,Downtown Book Center,93
94,Trafalgar Square,94
95,Delta,95
96,Laure Leaf,96
97,Love Spell,97
98,Penguin Books Ltd,98
99,Roc,99
100,Tor Fantasy,100
101,Harpercollins Publisher,101
102,Mariner Books,102
103,Picador (UK),103
104,Dover Publications,104
105,Simon Pulse,105
106,Nelson Books,106
107,Regal Books,107
108,Del Rey Books,108
109,Spectra,109
110,"Philipp Reclam, Jun Verlag GmbH",110
111,Diogenes,111
112,Diogenes Verlag,112
113,Distribooks Inc,113
114,Deutscher Taschenbuch Verlag (DTV),114
115,Dtv,115
116,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",116
117,Heyne,117
118,Kiepenheuer &amp; Witsch,118
119,Piper,119
120,"Rowohlt, Reinbek",120
121,Rowohlt Tb.,121
122,Suhrkamp,122
123,Ullstein Tb,123
124,"Bertelsmann, MÃ?Â¼nchen",124
125,"Fischer (Tb.), Frankfurt",125
126,St Martins Pr,126
127,Bantam Dell Pub Group,127
128,Doubleday,128
129,Delacorte Books for Young Readers,129
130,Island,130
131,Warner Vision,131
132,Plume Books,132
133,Jove Books,133
134,Atria,134
135,University of Nebraska Press,135
136,Ivy Books,136
137,Regan Books,137
138,Harcourt,138
139,Vintage Books USA,139
140,Dutton Books,140
141,Delta Systems,141
142,HarperCollins,142
143,HarperFestival,143
144,HarperPrism,144
145,HarperTempest,145
146,St. Martin's Griffin,146
147,Orb Books,147
148,Harlequin,148
149,Modern Library,149
150,Knopf Books for Young Readers,150
151,William Morrow,151
152,Wendy Lamb Books,152
153,Random House Inc,153
154,Push,154
155,Signet Classics,155
156,Signet,156
157,Faber Faber Inc,157
158,Viking Juvenile,158
159,Simon &amp; Schuster,159
160,Touchstone,160
161,Egmont Childrens Books,161
162,Dreamhaven Books,162
163,DC Comics,163
164,Dark Horse Comics,164
165,Alpha Books,165
166,Farrar Straus &amp; Giroux,166
167,Dell Publishing Company,167
168,Riverhead Books,168
169,University of California Press,169
170,Spectra Books,170
171,Viking Books,171
